2024-07-05 20:00:24 INFO  TestBase:102 - Clicking on element:div
2024-07-05 20:00:32 INFO  TestBase:90 - Finding an element:By.cssSelector: #app div.oxd-layout div.oxd-layout-container div.oxd-layout-context div div form div:nth-child(3) div div:nth-child(1) div div:nth-child(2) div div input
2024-07-05 20:00:32 INFO  TestBase:96 - Found an element:By.cssSelector: #app div.oxd-layout div.oxd-layout-container div.oxd-layout-context div div form div:nth-child(3) div div:nth-child(1) div div:nth-child(2) div div input
2024-07-05 20:00:55 INFO  TestBase:90 - Finding an element:By.cssSelector: span i
2024-07-05 20:00:55 INFO  TestBase:96 - Found an element:By.cssSelector: span i
2024-07-05 20:00:55 INFO  TestBase:102 - Clicking on element:i
2024-07-05 20:00:56 INFO  TestBase:90 - Finding an element:By.cssSelector: ul.oxd-dropdown-menu li:last-of-type a
2024-07-05 20:00:56 INFO  TestBase:96 - Found an element:By.cssSelector: ul.oxd-dropdown-menu li:last-of-type a
2024-07-05 20:00:56 INFO  TestBase:102 - Clicking on element:a
2024-07-05 20:18:22 INFO  TestBase:42 - navigating to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:18:24 INFO  TestBase:48 - navigated to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:18:24 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='username']
2024-07-05 20:18:24 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='username']
2024-07-05 20:18:25 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='password']
2024-07-05 20:18:25 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='password']
2024-07-05 20:18:25 INFO  TestBase:90 - Finding an element:By.xpath: //button[@type='submit']
2024-07-05 20:18:25 INFO  TestBase:96 - Found an element:By.xpath: //button[@type='submit']
2024-07-05 20:18:51 INFO  TestBase:90 - Finding an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:18:51 INFO  TestBase:96 - Found an element:By.xpath: //button[@title='Assign Leave']
2024-07-05 20:18:52 INFO  TestBase:102 - Clicking on element:button
2024-07-05 20:19:06 INFO  TestBase:90 - Finding an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:19:06 INFO  TestBase:96 - Found an element:By.xpath: //input[@placeholder='Type for hints...']
2024-07-05 20:19:24 INFO  TestBase:90 - Finding an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:19:24 INFO  TestBase:96 - Found an element:By.xpath: //div[@class='oxd-select-text-input']
2024-07-05 20:19:24 INFO  TestBase:102 - Clicking on element:div
2024-07-05 20:19:38 INFO  TestBase:90 - Finding an element:By.xpath: //div[text()='CAN - Personal']
2024-07-05 20:26:20 INFO  TestBase:42 - navigating to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:26:23 INFO  TestBase:48 - navigated to an url!!!https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2024-07-05 20:26:23 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='username']
2024-07-05 20:26:23 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='username']
2024-07-05 20:26:23 INFO  TestBase:90 - Finding an element:By.xpath: //input[@name='password']
2024-07-05 20:26:23 INFO  TestBase:96 - Found an element:By.xpath: //input[@name='password']
2024-07-05 20:26:24 INFO  TestBase:90 - Finding an element:By.xpath: //button[@type='submit']
